98;BUENOS AIRES;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;TREINTA Y SEIS;3115483976
99;BULLET SHOOTING RANEH;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;CALLE 136 No. 59 A 43 Int. 2 apto 703;6051112
100;CABALGATAS ECOLOGICAS KBALGAR EU;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;KM 7 EL HATO  ZONA 2- CASA 4;8741013
101;CABELLO Y CUERPO ELEGANTE;SPA;93; ACTIVIDADES DEPORTIVAS Y ACTIVIDADES RECREATIVAS Y DE ESPARCIMIENTO;C 8 No 1-48;8601372
102;CAFÉ TOTUMA;VENTA DE CAFÉ;47;COMERCIO AL POR MENOR;CALLE 6 No. 3-53 LOCAL 104;3014941815
103;CAFETERIA CENTRAL;VENTA DE CAFÉ;47;COMERCIO AL POR MENOR;K 3 No 6-42;8603837
104;CAFETERIA DON MIGUEL;VENTA DE CAFÉ;47;COMERCIO AL POR MENOR;LA PORTADA;8602329
105;CAFETERIA EL GECHO;VENTA DE CAFÉ;47;COMERCIO AL POR MENOR;K 8 No 10-61 VILLA SETENTA;8602530
106;CAFETERIA EL PORVENIR;VENTA DE CAFÉ;47;COMERCIO AL POR MENOR;K 3 No 7-18;8751219
107;CAFETERIA EL TERMINAL;VENTA DE CAFÉ;47;COMERCIO AL POR MENOR;C 8 No 1-48;8757207
108;CAFETERIA FRUTERIA RIKURAS;VENTA DE CAFÉ;47;COMERCIO AL POR MENOR;AVENIDA  2 No. 2 - 08;8602819
109;CAFETERIA KATTY;VENTA DE CAFÉ;47;COMERCIO AL POR MENOR;K 4 No 7-21CENTRO COMECIAL EL PARAISO ;3123045996
110;CAFETERIA LA MERIENDA;VENTA DE CAFÉ;47;COMERCIO AL POR MENOR;CRA 4 No. 7-40 ;8757624
111;CAFETERIA SUCY;VENTA DE CAFÉ;47;COMERCIO AL POR MENOR;C 6 No 3-09;8601322
112;CAFETERIA Y PAPELERIA R.D;VENTA DE CAFÉ;47;COMERCIO AL POR MENOR;LA PORTADA;3202319918
113;CAIPI BABY`S;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;CRA 3 ESTE 7 -61 PISO 3 BARRIO MANANTIAL;3102291495
114;CAJA COLOMBIANA DE SUBSIDIO FAMILIAR COLSUBSIDIO;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;CALLE  26 No. 25 - 50 PISO 7 ;3431899
115;CAL MOTOS;VENTA DE VEHICULOS;#N/A;#N/A;K 4 No 3 -71 la plazuela;8752050
116;CALEFRUVER;VENTA DE PRODUCTOS AGRICOLAS;47;COMERCIO AL POR MENOR;CARRERA 2 B;8600624
117;CALERA DESPORT;ALMACEN;47;COMERCIO AL POR MENOR;CALLE 3 No. 5-23;8601283
118;CALERA EXPRESS;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;CRA 7 No. 8-60;8752287
119;CALERA SHOPPING;ALMACEN;47;COMERCIO AL POR MENOR;AV 2 No 7-35;8600253
120;CALERA SHOPPING 1;ALMACEN;47;COMERCIO AL POR MENOR;CALLE 6 No. 4A 77;8603426
121;CALEROSCOPI -PERIODICO;TELECOMUNICACIONES;61;TELECOMUNICACIONES;AV 2 No 4A-50 piso 2;8751742
122;CALICHES;OTRAS ACTIVIDADES DE COMERCIO;47;COMERCIO AL POR MENOR;PLAZA DE MERCADO LOCAL 24;3138318729
